datetime,temperature,humidity,wind_speed,pressure,clouds,solar_irradiance
2025-01-01 00:00:00,15.2,72,3.5,1012,20,0
2025-01-01 01:00:00,14.8,74,3.1,1012,25,0
2025-01-01 02:00:00,14.5,75,2.9,1013,30,0
2025-01-01 03:00:00,14.1,76,2.8,1013,35,0
2025-01-01 04:00:00,13.9,77,2.6,1014,40,0
2025-01-01 05:00:00,13.6,78,2.7,1014,50,10
2025-01-01 06:00:00,13.4,79,3.0,1015,60,120
2025-01-01 07:00:00,14.0,78,3.5,1015,55,220
2025-01-01 08:00:00,16.0,70,4.2,1016,30,450
2025-01-01 09:00:00,18.5,60,5.0,1016,10,600
